id;description_name;account_number;account_digit;agency_number;agency_digit
1;ack blaspheme;psst;metal persecute after;gosh pleasing ambitious;supposing yum
2;obnoxiously correctly forceful;compassionate;velvety worth;slipper next;pushy
3;fit how;beneath sturdy;bitterly past trash;bare brr jubilantly;lawmaker
4;which;when carpool tabletop;while jovially;perfectly;tattered accessorise furthermore
5;masquerade chatter openly;yuck;till;granny;leading tankful recklessly
6;woot wash lazily;validity throughout outlandish;cute powerfully;overspend unethically;sternly
7;ick certification;more subtract;but;athwart international what;snappy
8;accomplished cheap;into well-documented;dimly next upliftingly;yowza;boohoo likewise
9;excitedly what noted;considering;segregate monster;consequently;dimly
10;juicy blah;crackle whereas straight;plain;phooey pish inside;joyfully um
